R,x,y,T,L,kappa,kappa_bulk
0.3,10,20,100,3.16228e-07,6.38417,0.515042
0.3,10,20,100,3.98107e-07,6.70906,0.541253
0.3,10,20,100,5.01187e-07,7.02729,0.566926
0.3,10,20,100,6.30957e-07,7.33853,0.592035
0.3,10,20,100,7.94328e-07,7.64243,0.616553
0.3,10,20,100,1e-06,7.9386,0.640446
0.3,10,20,100,1.25893e-06,8.22668,0.663687
0.3,10,20,100,1.58489e-06,8.50642,0.686255
0.3,10,20,100,1.99526e-06,8.77777,0.708146
0.3,10,20,100,2.51189e-06,9.04092,0.729376
0.3,10,20,100,3.16228e-06,9.2963,0.749979
0.3,10,20,100,3.98107e-06,9.5445,0.770002
0.3,10,20,100,5.01187e-06,9.78608,0.789491
0.3,10,20,100,6.30957e-06,10.0214,0.808477
0.3,10,20,100,7.94328e-06,10.2505,0.826956
0.3,10,20,100,1e-05,10.4727,0.844885
0.3,10,20,100,1.25893e-05,10.687,0.862175
0.3,10,20,100,1.58489e-05,10.8918,0.878696
0.3,10,20,100,1.99526e-05,11.0852,0.894295
0.3,10,20,100,2.51189e-05,11.2652,0.908818
0.3,10,20,100,3.16228e-05,11.4302,0.922131
0.3,10,20,100,3.98107e-05,11.579,0.934138
0.3,10,20,100,5.01187e-05,11.7111,0.944794
0.3,10,20,100,6.30957e-05,11.8265,0.954106
0.3,10,20,100,7.94328e-05,11.926,0.962127
0.3,10,20,100,0.0001,12.0105,0.968948
0.3,10,20,150,1e-09,0.292401,0.0277702
0.3,10,20,150,1.25893e-09,0.357246,0.0339287
0.3,10,20,150,1.58489e-09,0.434494,0.0412652
0.3,10,20,150,1.99526e-09,0.525796,0.0499364
0.3,10,20,150,2.51189e-09,0.632781,0.0600971
0.3,10,20,150,3.16228e-09,0.756987,0.0718933
0.3,10,20,150,3.98107e-09,0.899767,0.0854535
0.3,10,20,150,5.01187e-09,1.0622,0.10088
0.3,10,20,150,6.30957e-09,1.245,0.118242
0.3,10,20,150,7.94328e-09,1.44845,0.137564
0.3,10,20,150,1e-08,1.67233,0.158826
0.3,10,20,150,1.25893e-08,1.91589,0.181958
0.3,10,20,150,1.58489e-08,2.17785,0.206837
0.3,10,20,150,1.99526e-08,2.45644,0.233295
0.3,10,20,150,2.51189e-08,2.74946,0.261124
0.3,10,20,150,3.16228e-08,3.05436,0.290082
0.3,10,20,150,3.98107e-08,3.36838,0.319905
0.3,10,20,150,5.01187e-08,3.68864,0.350321
0.3,10,20,150,6.30957e-08,4.01233,0.381062
0.3,10,20,150,7.94328e-08,4.33678,0.411877
0.3,10,20,150,1e-07,4.65966,0.442542
0.3,10,20,150,1.25893e-07,4.979,0.47287
0.3,10,20,150,1.58489e-07,5.29327,0.502718
0.3,10,20,150,1.99526e-07,5.60137,0.531979
0.3,10,20,150,2.51189e-07,5.90254,0.560582
0.3,10,20,150,3.16228e-07,6.19627,0.588478
0.3,10,20,150,3.98107e-07,6.48217,0.615631
0.3,10,20,150,5.01187e-07,6.75989,0.642007
0.3,10,20,150,6.30957e-07,7.02901,0.667566
0.3,10,20,150,7.94328e-07,7.28908,0.692266
0.3,10,20,150,1e-06,7.53967,0.716064
0.3,10,20,150,1.25893e-06,7.78037,0.738925
0.3,10,20,150,1.58489e-06,8.01096,0.760825
0.3,10,20,150,1.99526e-06,8.23138,0.781758
0.3,10,20,150,2.51189e-06,8.44173,0.801736
0.3,10,20,150,3.16228e-06,8.64223,0.820778
0.3,10,20,150,3.98107e-06,8.8331,0.838906
0.3,10,20,150,5.01187e-06,9.01445,0.856129
0.3,10,20,150,6.30957e-06,9.18616,0.872437
0.3,10,20,150,7.94328e-06,9.3479,0.887797
0.3,10,20,150,1e-05,9.49907,0.902155
0.3,10,20,150,1.25893e-05,9.63898,0.915443
0.3,10,20,150,1.58489e-05,9.76695,0.927596
0.3,10,20,150,1.99526e-05,9.88244,0.938565
